t,a,b,c,d,e,f,g
1,0.4,1.5,2,2.5,10,20,30
2,0.8,3.0,4,5,20,40,60
4,1.6,6.0,8,10,40,80,120
6,2.4,8.5,12,15,60,120,180
8,3.2,11.5,16,20,80,160,240
10,4.0,14.0,20,25,100,200,300
12,4.8,17.1,24,30,120,240,360
14,5.6,20,28,35,140,280,420
16,6.4,23,32,40,160,320,480
18,7.2,26,36,45,180,360,540
20,8.0,29,40,50,200,400,600
22,8.8,32,44,55,220,440,660
24,9.6,35,48,60,240,480,720
26,10.4,37,52,65,260,520,780
28,11.2,40,56,70,280,560,840
30,12,43,60,75,300,600,900
32,13,46,64,80,320,640,960
34,14,49,68,85,340,680,1020
36,15,52,72,90,360,720,1080
38,15,54,76,95,380,760,1140
40,16,57,80,100,400,800,1200
